3,7
25,3
70,57
23,18
61,69
26,9
39,36
9,29
56,49
33,47
40,37
47,37
8,21
37,65
36,51
35,0
41,49
64,55
18,7
58,59
21,46
41,65
16,23
62,69
44,45
66,41
27,9
47,60
27,53
14,17
42,43
68,59
65,45
7,31
12,1
43,41
46,39
11,8
35,51
9,1
54,59
41,53
45,63
65,29
1,7
69,55
29,45
25,10
23,61
42,49
20,29
41,44
3,17
17,61
35,39
58,41
16,17
1,9
55,41
1,1
32,1
21,7
67,65
17,5
9,31
8,7
3,13
50,37
55,52
61,53
63,59
29,55
49,48
67,59
36,45
1,27
63,41
7,23
31,61
5,31
33,41
22,9
29,49
13,11
39,50
5,3
43,57
41,56
7,13
65,61
55,51
49,51
44,55
48,55
28,9
67,48
19,11
35,59
21,13
53,42
1,22
35,35
33,54
47,39
30,55
50,61
58,53
67,60
37,43
59,51
9,5
23,58
25,51
31,47
45,50
45,59
41,39
1,13
39,51
25,9
45,43
45,68
57,57
0,25
47,54
60,57
48,69
45,67
49,24
7,26
29,4
9,39
68,47
43,52
69,69
63,65
39,58
37,56
7,14
25,59
59,63
49,47
61,39
41,67
35,42
49,70
63,67
55,63
15,67
31,59
15,10
38,67
17,11
43,38
19,16
46,53
44,69
41,41
30,45
7,25
35,67
1,29
39,67
49,27
28,61
51,45
54,63
31,53
33,53
47,43
42,63
33,1
31,8
59,39
17,9
54,67
43,60
49,64
3,19
46,67
36,5
26,49
58,57
61,38
40,47
6,17
51,63
63,61
42,47
55,64
12,11
17,19
67,66
58,67
69,67
39,61
41,66
47,62
47,45
47,58
19,19
34,39
55,58
1,8
35,47
69,65
23,65
61,60
32,41
2,13
5,1
27,43
25,45
47,61
3,15
41,64
11,16
57,42
26,15
62,57
1,11
49,62
59,50
1,17
27,66
20,3
49,34
62,39
27,62
63,46
7,11
55,69
31,63
53,46
44,53
41,47
33,3
2,1
39,5
55,48
41,45
35,6
38,59
38,47
7,7
33,62
65,69
29,5
49,57
37,44
15,22
52,37
27,51
62,27
35,55
70,49
67,45
43,55
31,60
17,13
37,39
29,63
42,55
53,43
69,61
59,47
39,46
3,4
9,17
7,12
65,67
53,45
35,49
3,24
33,64
27,46
19,10
70,67
39,69
9,35
31,52
41,54
53,69
61,47
2,27
43,53
62,63
51,39
5,27
46,43
68,63
33,50
3,21
3,30
8,5
46,41
9,13
35,61
2,7
65,49
33,55
49,58
63,50
65,52
46,29
15,13
37,47
64,37
11,20
53,59
49,30
23,53
60,33
63,42
11,3
29,59
11,18
15,2
33,7
24,51
15,14
63,53
21,54
31,2
29,61
58,45
5,18
53,55
52,57
43,63
17,12
35,53
37,69
31,62
26,7
27,5
24,13
