184964585341884, 113631924395348, 401845630841620 @ 61, 469, -390
331877282121819, 365938348079363, 314507465806130 @ 46, -106, 24
263775277465044, 418701236136888, 52607746821705 @ 105, -170, 307
208356602267478, 274354112299498, 294235176347885 @ 46, 8, -49
215069209934964, 263266623283188, 304961521854129 @ -28, 48, -120
218821711924084, 386143011380798, 415191763621655 @ 101, -181, -189
451773868335257, 516705765114825, 478982876413032 @ -54, -246, -128
160266893683207, 318090322227659, 233527333051300 @ -106, -238, 26
133382790359204, 248866187487128, 271295536804269 @ 117, 233, -203
126081027693345, 357221115260331, 166079877492738 @ 180, -398, 420
412552579106310, 238682026521804, 213182511307125 @ -130, 41, 131
213009943077568, 188071566233378, 189159097538284 @ 81, 163, 180
366495890008028, 365288029612049, 443509928183922 @ -67, -128, -176
384782259204993, 344542120191675, 467426129680761 @ -180, -118, -287
348749863928109, 148865902367784, 367750792926300 @ -58, 169, -84
211395081228450, 222394239720422, 270482520554253 @ -182, 272, -101
343177001344294, 240270201959713, 339571651319800 @ -33, 38, -36
340020595292155, 558364836389057, 259798360146916 @ -84, -446, 60
252064135849544, 235489727727348, 246970174964945 @ -138, 129, 45
140358912743560, 373357926049956, 320906099428877 @ 158, -339, -252
188443931780591, 269549626545306, 232934981929617 @ -36, 51, 73
154926237032900, 289502736377988, 292505912751361 @ 93, -27, -163
301528564942018, 447808448611077, 300306817931185 @ 83, -186, 41
158273993341950, 397498609178670, 156936237513441 @ 64, -488, 393
389360056957012, 271466577261286, 310836940693015 @ -19, -8, 26
523606165049724, 311160441358758, 382715523758715 @ -279, -56, -96
124541310468344, 263384391070213, 181388147891580 @ 9, 406, 772
367981615695219, 124849946602263, 493393895044755 @ 20, 136, -149
282069200225727, 366811411519455, 433506003940557 @ 104, -104, -91
475019452646862, 292986287630220, 339967775498451 @ -144, -31, -16
310337090337168, 149828492293020, 146414880235513 @ -44, 195, 239
121070348836600, 314126009952213, 212886134337194 @ 161, -252, 192
250324788521500, 474348549156984, 369234741457179 @ -87, -501, -260
189260213696946, 274226723382576, 194804430809577 @ -136, 51, 253
245010531114496, 350352263722748, 310270903562697 @ -217, -247, -203
364526329577550, 287576791669506, 107988379663308 @ 11, -25, 238
169589466467844, 234818423458884, 219295838817985 @ 52, 174, 126
308250314562334, 287517226796403, 337801210423020 @ -25, -24, -56
206414999340108, 257481830752005, 293394992457417 @ 29, 54, -63
195321122092581, 371225304242562, 375806132972700 @ -6, -293, -384
131305889163174, 215343095136510, 256785201098943 @ 72, 636, -202
160393711161926, 179942642401256, 197178982114491 @ 51, 449, 223
382386631217010, 192405763860352, 392632986263623 @ -56, 91, -88
342050658842647, 386589691572720, 342014839102920 @ -214, -231, -134
129256076607662, 256707215664942, 258772984880047 @ -84, 540, -538
276468059357704, 264288879976749, 262679239111570 @ 57, 6, 66
142942471076538, 304200425647776, 233448578362839 @ 23, -135, 27
471079154426244, 315697987066868, 113860123070225 @ -83, -53, 227
289498131207561, 376422088031079, 286209846076920 @ -96, -206, -14
474902657117445, 238766305641606, 404357015017095 @ -142, 31, -89
336918796133476, 317679284529444, 319274063639601 @ -15, -63, -5
204667760809768, 289046375821304, 242561451830337 @ 66, -26, 73
313666343836136, 437408999642022, 511619285956785 @ 23, -210, -239
150214488661956, 292444527376524, 227847189772593 @ 21, -45, 77
266399759675388, 332797003864548, 186020731120257 @ 58, -87, 169
334319890566109, 284268507639378, 250316774628295 @ 18, -21, 87
119671750003904, 305649874601848, 225576517701325 @ 114, -260, 50
152092651117364, 264317961468208, 223507251703065 @ 185, 26, 115
191994714264194, 252105280340738, 280744192450255 @ -121, 151, -165
176296292857804, 487497720699528, 397506034018065 @ 65, -645, -431
351126679842792, 394834346925389, 445968133234078 @ -71, -178, -202
400751927677326, 167249697187992, 278100344246973 @ -120, 139, 43
143570208306518, 317610309210600, 337650914079437 @ -16, -261, -853
174533080468696, 263082050627488, 251092775094081 @ -36, 98, -23
326143431565034, 216365643581054, 307763244395741 @ 12, 62, 15
205666491035516, 190316653217512, 163166122385917 @ 123, 130, 212
163214020667229, 323481000284694, 256139775138660 @ 22, -185, -44
147341160785210, 300395103269254, 238510643415807 @ -70, -124, -38
255079503729126, 353635554030308, 345715139531529 @ 94, -107, -35
378641483407764, 150274899984308, 314020694220561 @ -53, 143, 7
183094666413783, 290647854892384, 249570387598004 @ 16, -31, 20
330134494207119, 285278759028318, 313583646802245 @ -38, -21, -11
243555407077101, 335932246351317, 202166517244020 @ -52, -140, 166
114882672025599, 270455005889607, 183862081867974 @ 222, 134, 432
154605415821338, 271346043866368, 267304878177821 @ -54, 103, -213
324633800141281, 242122975432271, 533550209968844 @ -184, 74, -546
167352109980324, 236593843351108, 267982907220705 @ 34, 191, -74
180693911601672, 312760860036996, 223018298293623 @ -121, -155, 108
221423333710774, 484993977058078, 222842149398260 @ -85, -653, 114
264160477263684, 380868412808772, 338968380487617 @ -93, -244, -160
145268355570996, 291229240743036, 274904729632329 @ -129, -46, -476
169632434434110, 295479004776492, 147446857227831 @ 154, -39, 268
382309611883178, 282293948784995, 193880648335531 @ 11, -20, 147
359338860474380, 290837646894610, 486303337917283 @ -99, -29, -277
357337175171495, 322114305594295, 117253608569995 @ -36, -68, 251
264708880893114, 209357236371423, 248360762395725 @ 119, 54, 93
396127672485124, 151022091606442, 383415863964374 @ -43, 127, -60
341024766384930, 265816743761253, 301188520006404 @ -165, 18, -32
213611994410577, 224405458386627, 228375189930615 @ -132, 226, 91
284764305813837, 3708512638212, 219167633527527 @ 40, 357, 123
282937888234536, 353040703673328, 266135953278801 @ 16, -122, 53
209426621486360, 330872583534712, 257956826972125 @ -21, -149, 11
290948208762924, 281895547819093, 301650329177740 @ -131, -10, -60
323761626400404, 235365188530044, 319617254078865 @ -93, 66, -49
167572968083239, 316088343294363, 268864712317865 @ 110, -102, -15
387204653812714, 487381360577728, 324992146960277 @ -33, -247, 5
142729798922121, 258427229345442, 247597754417538 @ 36, 191, -68
124797856428873, 257965627877194, 236424699359902 @ 76, 359, -72
239391417673888, 301716067543826, 356668242183610 @ 41, -49, -124
395773779995976, 448067203493316, 209920009315238 @ -71, -219, 134
121331024690484, 286911668109780, 249157896059793 @ 207, -13, -33
206285273962778, 250041076282880, 314842937600659 @ 14, 79, -132
159325907176100, 253605987772844, 169044230064321 @ -31, 190, 433
148479399713988, 409813885471620, 217144759805697 @ 60, -678, 140
142279848269394, 95052378748863, 144870364700205 @ 175, 558, 349
119950770113517, 217296242754485, 218451366678253 @ 256, 104, 125
118958595434864, 241026171341548, 221168221500735 @ 215, 257, 118
206976226804044, 271068721732128, 207366506643885 @ 47, 16, 152
197588878150347, 355192053942832, 336500144328588 @ 76, -175, -140
493964085515464, 227888094794758, 464133357817430 @ -111, 35, -124
442585900077221, 515365501298755, 429850071290732 @ -124, -298, -130
100056309704324, 212907123852228, 159838655014145 @ 306, 240, 333
338667740833092, 275909107984856, 334202923452137 @ -11, -10, -21
283199190888372, 389769159819432, 296070207185121 @ 73, -144, 33
153543161284359, 333764600720223, 294690056311095 @ -122, -418, -533
465000253913832, 306899056893324, 447774774059725 @ -92, -45, -114
227938543212651, 368314267799073, 281398691277951 @ -34, -232, -37
292385579024940, 126834194582382, 159003345012045 @ -111, 316, 251
121099499189976, 279592226552448, 207165063992157 @ 78, 128, 332
450023615098580, 286946766813780, 166980784261137 @ -124, -24, 184
356414060795058, 198120176266446, 384771763269009 @ 11, 71, -55
284292253406481, 227464525681545, 218956468104123 @ 70, 46, 123
201063341146812, 260265689958684, 333871941882129 @ -21, 67, -243
320339817058074, 361660739342628, 304539823555899 @ 42, -107, 28
144796336397908, 226569990301598, 320812940992781 @ 141, 208, -253
152390619422409, 288059623719858, 230613622450602 @ -28, -17, 52
